train_slide_id,train_label,val_slide_id,val_label,test_slide_id,test_label
tumor_098,1,normal_040,0,test_001,1
tumor_019,1,normal_037,0,test_002,1
tumor_005,1,tumor_078,1,test_003,0
normal_079,0,tumor_109,1,test_004,1
tumor_045,1,tumor_106,1,test_005,0
tumor_033,1,normal_072,0,test_006,0
tumor_015,1,tumor_074,1,test_007,0
normal_071,0,normal_059,0,test_008,1
normal_106,0,tumor_046,1,test_009,0
tumor_039,1,tumor_003,1,test_010,1
normal_115,0,tumor_077,1,test_011,1
tumor_049,1,normal_131,0,test_012,0
normal_153,0,normal_042,0,test_013,1
tumor_050,1,tumor_103,1,test_014,0
normal_138,0,tumor_052,1,test_015,0
normal_148,0,normal_080,0,test_016,1
tumor_053,1,normal_075,0,test_017,0
tumor_068,1,normal_088,0,test_018,0
normal_085,0,normal_020,0,test_019,0
normal_118,0,normal_091,0,test_020,0
tumor_072,1,normal_134,0,test_021,1
tumor_099,1,normal_006,0,test_022,0
normal_078,0,normal_158,0,test_023,0
normal_046,0,normal_058,0,test_024,0
tumor_043,1,tumor_001,1,test_025,0
normal_009,0,normal_089,0,test_026,1
tumor_058,1,tumor_007,1,test_027,1
normal_136,0,normal_094,0,test_028,0
normal_003,0,tumor_085,1,test_029,1
normal_002,0,normal_039,0,test_030,1
tumor_083,1,normal_023,0,test_031,0
normal_140,0,tumor_092,1,test_032,0
normal_004,0,normal_113,0,test_033,1
normal_029,0,tumor_069,1,test_034,0
normal_101,0,normal_099,0,test_035,0
normal_011,0,normal_126,0,test_036,0
normal_032,0,tumor_073,1,test_037,0
normal_045,0,normal_082,0,test_038,1
tumor_054,1,normal_024,0,test_039,0
normal_120,0,tumor_051,1,test_040,1
tumor_056,1,normal_018,0,test_041,0
normal_112,0,normal_116,0,test_042,0
tumor_028,1,normal_051,0,test_043,0
normal_123,0,normal_143,0,test_044,0
normal_035,0,tumor_020,1,test_045,0
normal_105,0,normal_033,0,test_046,1
normal_031,0,tumor_093,1,test_047,0
normal_014,0,tumor_091,1,test_048,1
normal_109,0,normal_061,0,test_050,0
normal_025,0,tumor_062,1,test_051,1
normal_065,0,tumor_018,1,test_052,1
tumor_064,1,,,test_053,0
normal_090,0,,,test_054,0
normal_073,0,,,test_055,0
normal_001,0,,,test_056,0
normal_137,0,,,test_057,0
normal_027,0,,,test_058,0
normal_160,0,,,test_059,0
normal_145,0,,,test_060,0
tumor_002,1,,,test_061,1
tumor_011,1,,,test_062,0
normal_084,0,,,test_063,0
normal_012,0,,,test_064,1
tumor_010,1,,,test_065,1
normal_060,0,,,test_066,1
normal_067,0,,,test_067,0
normal_117,0,,,test_068,1
normal_125,0,,,test_069,1
normal_017,0,,,test_070,0
tumor_047,1,,,test_071,1
tumor_084,1,,,test_072,0
normal_069,0,,,test_073,1
tumor_041,1,,,test_074,1
tumor_040,1,,,test_075,1
tumor_063,1,,,test_076,0
tumor_079,1,,,test_077,0
tumor_048,1,,,test_078,0
normal_057,0,,,test_079,1
tumor_042,1,,,test_080,0
normal_154,0,,,test_081,0
normal_159,0,,,test_082,1
normal_152,0,,,test_083,0
tumor_107,1,,,test_084,1
tumor_060,1,,,test_085,0
normal_043,0,,,test_086,0
tumor_067,1,,,test_087,0
tumor_031,1,,,test_088,0
normal_010,0,,,test_089,0
tumor_095,1,,,test_090,1
normal_068,0,,,test_091,0
normal_026,0,,,test_092,1
normal_147,0,,,test_093,0
normal_132,0,,,test_094,1
normal_064,0,,,test_095,0
normal_062,0,,,test_096,0
normal_083,0,,,test_097,1
tumor_036,1,,,test_098,0
tumor_105,1,,,test_099,1
normal_146,0,,,test_100,0
normal_081,0,,,test_101,0
tumor_017,1,,,test_102,1
normal_050,0,,,test_103,0
normal_016,0,,,test_104,1
tumor_021,1,,,test_105,1
normal_087,0,,,test_106,0
tumor_055,1,,,test_107,0
tumor_080,1,,,test_108,1
tumor_090,1,,,test_109,0
normal_030,0,,,test_110,1
tumor_076,1,,,test_111,0
normal_104,0,,,test_112,0
normal_149,0,,,test_113,1
tumor_101,1,,,test_114,1
normal_077,0,,,test_115,0
normal_063,0,,,test_116,1
tumor_012,1,,,test_117,1
normal_015,0,,,test_118,0
tumor_100,1,,,test_119,0
normal_100,0,,,test_120,0
normal_092,0,,,test_121,1
tumor_009,1,,,test_122,1
normal_053,0,,,test_123,0
tumor_032,1,,,test_124,0
normal_142,0,,,test_125,0
normal_095,0,,,test_126,0
normal_133,0,,,test_127,0
tumor_104,1,,,test_128,0
tumor_025,1,,,test_129,0
normal_150,0,,,test_130,0
normal_139,0,,,,
normal_052,0,,,,
tumor_057,1,,,,
normal_157,0,,,,
normal_122,0,,,,
tumor_061,1,,,,
tumor_096,1,,,,
tumor_081,1,,,,
normal_124,0,,,,
normal_021,0,,,,
tumor_070,1,,,,
normal_041,0,,,,
tumor_059,1,,,,
normal_005,0,,,,
tumor_075,1,,,,
tumor_034,1,,,,
tumor_066,1,,,,
tumor_016,1,,,,
tumor_087,1,,,,
normal_098,0,,,,
normal_054,0,,,,
normal_102,0,,,,
